iter	Passed	Remaining
0	156	156540
1	158	79102
2	160	53336
3	162	40401
4	164	32720
5	165	27468
6	167	23800
7	169	21032
8	171	18838
9	172	17087
10	174	15726
11	176	14550
12	178	13554
13	180	12729
14	183	12020
15	185	11391
16	186	10812
17	188	10277
18	190	9819
19	191	9383
20	193	9002
21	194	8655
22	196	8325
23	197	8049
24	199	7784
25	201	7530
26	203	7326
27	204	7112
28	206	6903
29	207	6715
30	209	6535
31	210	6367
32	212	6219
33	213	6067
34	215	5943
35	217	5815
36	218	5688
37	220	5570
38	221	5453
39	222	5347
40	224	5246
41	225	5150
42	227	5053
43	228	4963
44	230	4881
45	231	4801
46	233	4730
47	234	4652
48	236	4589
49	238	4523
50	239	4454
51	241	4394
52	242	4331
53	244	4274
54	245	4218
55	246	4161
56	248	4109
57	249	4055
58	251	4007
59	252	3960
60	254	3913
61	255	3869
62	257	3822
63	258	3780
64	260	3742
65	261	3701
66	263	3664
67	264	3623
68	265	3588
69	267	3551
70	268	3517
71	270	3486
72	271	3453
73	273	3423
74	274	3390
75	276	3359
76	277	3327
77	279	3301
78	280	3274
79	282	3244
80	283	3217
81	284	3188
82	286	3164
83	288	3143
84	289	3120
85	291	3096
86	293	3076
87	294	3053
88	296	3030
89	298	3014
90	299	2992
91	301	2973
92	302	2952
93	304	2932
94	306	2918
95	307	2898
96	309	2878
97	310	2860
98	312	2841
99	313	2822
100	314	2801
101	316	2788
102	318	2773
103	320	2757
104	322	2745
105	323	2730
106	325	2713
107	326	2698
108	328	2682
109	329	2668
110	333	2670
111	337	2678
112	340	2675
113	345	2688
114	349	2691
115	353	2696
116	359	2713
117	365	2729
118	368	2729
119	373	2735
120	375	2725
121	377	2714
122	380	2710
123	382	2701
124	386	2706
125	392	2719
126	398	2738
127	401	2735
128	406	2744
129	410	2749
130	412	2738
131	415	2734
132	419	2734
133	420	2719
134	422	2705
135	423	2691
136	425	2680
137	428	2675
138	433	2685
139	436	2683
140	439	2674
141	441	2665
142	442	2652
143	444	2640
144	445	2629
145	448	2624
146	450	2614
147	452	2606
148	454	2597
149	456	2589
150	458	2578
151	459	2564
152	461	2554
153	463	2543
154	464	2534
155	466	2524
156	467	2512
157	469	2502
158	471	2492
159	472	2480
160	474	2470
161	475	2459
162	477	2449
